timestamp,target_population,current_population,object_type,operation,duration_sec,cpu_percent,memory_percent,status_code,error
2025-04-07T22:12:38.464073,50,45,projects,CREATE,0.0036305420217104256,0.0,80.9,201,
2025-04-07T22:12:38.467913,50,46,projects,UPDATE,0.005544042040128261,0.0,80.9,200,
2025-04-07T22:12:38.473708,50,46,projects,DELETE,0.0035719170118682086,59.0,80.9,200,
2025-04-07T22:12:38.477345,50,45,projects,CREATE,0.004516332992352545,100.0,80.9,201,
2025-04-07T22:12:39.141899,100,100,todos,CREATE,0.00258883397327736,51.3,81.0,201,
2025-04-07T22:12:39.144662,100,101,todos,CREATE,0.0032679999712854624,33.3,81.0,201,
2025-04-07T22:12:39.148060,100,102,todos,CREATE,0.003548750013578683,75.0,81.0,201,
2025-04-07T22:12:39.151739,100,103,todos,UPDATE,0.003793374984525144,0.0,81.0,200,
2025-04-07T22:12:39.155640,100,103,todos,DELETE,0.0032115000067278743,0.0,81.0,200,
2025-04-07T22:12:39.158917,100,102,todos,CREATE,0.0049142499919980764,0.0,81.0,201,
2025-04-07T22:12:39.163923,100,103,todos,CREATE,0.002683541039004922,0.0,81.0,201,
2025-04-07T22:12:39.166731,100,104,todos,UPDATE,0.0030161250033415854,0.0,81.0,200,
2025-04-07T22:12:39.169875,100,104,todos,UPDATE,0.0027651249547488987,0.0,81.0,200,
2025-04-07T22:12:39.172739,100,104,todos,DELETE,0.003088708035647869,0.0,81.0,200,
2025-04-07T22:12:39.175877,100,100,categories,CREATE,0.0023554159561172128,0.0,81.0,201,
2025-04-07T22:12:39.178287,100,101,categories,CREATE,0.004526750009972602,0.0,81.0,201,
2025-04-07T22:12:39.182923,100,102,categories,CREATE,0.002286457980517298,0.0,81.0,201,
2025-04-07T22:12:39.185301,100,103,categories,CREATE,0.0025274590007029474,0.0,81.0,201,
2025-04-07T22:12:39.187907,100,104,categories,CREATE,0.0024481670116074383,0.0,81.0,201,
2025-04-07T22:12:39.190461,100,105,categories,DELETE,0.005450166994705796,0.0,81.0,200,
2025-04-07T22:12:39.196027,100,104,categories,CREATE,0.0028228749870322645,0.0,81.0,201,
2025-04-07T22:12:39.198933,100,105,categories,DELETE,0.002622166008222848,0.0,81.0,200,
2025-04-07T22:12:39.201661,100,104,categories,DELETE,0.002346790977753699,0.0,81.0,200,
2025-04-07T22:12:39.204060,100,103,categories,DELETE,0.003446167043875903,0.0,81.0,200,
2025-04-07T22:12:39.207564,100,100,projects,UPDATE,0.002427250030450523,0.0,81.0,200,
2025-04-07T22:12:39.210336,100,100,projects,CREATE,0.0021032500080764294,0.0,81.0,201,
2025-04-07T22:12:39.212640,100,101,projects,UPDATE,0.002175792003981769,0.0,81.0,200,
2025-04-07T22:12:39.214983,100,101,projects,CREATE,0.0026526250294409692,0.0,81.0,201,
2025-04-07T22:12:39.217758,100,102,projects,UPDATE,0.004657791985664517,0.0,81.0,200,
2025-04-07T22:12:39.222656,100,102,projects,CREATE,0.002377416007220745,0.0,81.0,201,
2025-04-07T22:12:39.225204,100,103,projects,CREATE,0.0020775829907506704,0.0,81.0,201,
2025-04-07T22:12:39.227420,100,104,projects,CREATE,0.0047980829840525985,0.0,81.0,201,
2025-04-07T22:12:39.232402,100,105,projects,UPDATE,0.0020365410018712282,0.0,81.0,200,
2025-04-07T22:12:39.234623,100,105,projects,DELETE,0.0019339589634910226,0.0,81.0,200,
2025-04-07T22:12:40.073030,200,200,todos,UPDATE,0.0025148330023512244,44.6,80.7,200,
2025-04-07T22:12:40.075701,200,200,todos,CREATE,0.002780624956358224,0.0,80.7,201,
2025-04-07T22:12:40.078547,200,201,todos,CREATE,0.0042696669697761536,0.0,80.7,201,
2025-04-07T22:12:40.082916,200,202,todos,CREATE,0.004776249988935888,50.0,80.7,201,
2025-04-07T22:12:40.087804,200,203,todos,DELETE,0.0020816249889321625,75.0,80.7,200,
2025-04-07T22:12:40.089974,200,202,todos,CREATE,0.0022085410309955478,66.7,80.7,201,
2025-04-07T22:12:40.092253,200,203,todos,UPDATE,0.002432041976135224,0.0,80.7,200,
2025-04-07T22:12:40.094815,200,203,todos,UPDATE,0.002449750027153641,100.0,80.7,200,
2025-04-07T22:12:40.097389,200,203,todos,UPDATE,0.005019208008889109,0.0,80.7,200,
2025-04-07T22:12:40.102527,200,203,todos,UPDATE,0.0026467919815331697,0.0,80.7,200,
2025-04-07T22:12:40.105322,200,200,categories,CREATE,0.0026522499974817038,0.0,80.7,201,
2025-04-07T22:12:40.108035,200,201,categories,UPDATE,0.0028049999964423478,0.0,80.7,200,
2025-04-07T22:12:40.110966,200,201,categories,UPDATE,0.0032957500079646707,0.0,80.7,200,
2025-04-07T22:12:40.114350,200,201,categories,UPDATE,0.002359790960326791,0.0,80.7,200,
